"plast","plast_2","JSD","pos_cycle","network","JSD_id"
0.0878,0.3562,0.434411419289928,4,"Randomization/NRF2",-1
0.0758,0.391,0.497739405783526,5,"Randomization/NRF2",-1
0.1009,0.4261,0.447219246869411,6,"Randomization/NRF2",-1
0.2461,0.6375,0.433189634470782,8,"Randomization/NRF2",-1
0.1583,0.4767,0.478720171221145,7,"Randomization/NRF2",-1
0.1503,0.4066,0.380327736051113,6,"Randomization/NRF2",-1
0.1097,0.3947,0.416441640821683,5,"Randomization/NRF2",-1
0.1207,0.362,0.361696794899269,5,"Randomization/NRF2",-2
0.1572,0.4532,0.402174427450749,7,"Randomization/NRF2",-1
0.1554,0.4301,0.424735284361589,6,"Randomization/NRF2",-1
0.1529,0.4731,0.421516167263354,7,"Randomization/NRF2",-1
0.532,0.7734,0.44176709240871,8,"Randomization/NRF2",-1
0.276,0.5565,0.526876669719781,7,"Randomization/NRF2",-1
0.4969,0.742,0.19274904905346,8,"Randomization/NRF2",-2
0.5032,0.7111,0.0751893189360378,8,"Randomization/NRF2",-3
0.4789,0.7205,0.165952955841501,8,"Randomization/NRF2",-2
0.2855,0.5918,0.202294646953746,7,"Randomization/NRF2",-2
0.4878,0.7485,0.108180867276592,8,"Randomization/NRF2",-3
0.1547,0.4535,0.422592204898299,6,"Randomization/NRF2",-1
0.1892,0.4968,0.484821886105593,7,"Randomization/NRF2",-1
0.2149,0.497,0.394893758545027,7,"Randomization/NRF2",-1
0.2402,0.5524,0.428959852593779,7,"Randomization/NRF2",-1
0.152,0.4701,0.431738904640854,6,"Randomization/NRF2",-1
0.2398,0.5557,0.436191308466471,7,"Randomization/NRF2",-1
0.1259,0.3712,0.44014612927461,6,"Randomization/NRF2",-1
0.1318,0.3816,0.412536083646882,6,"Randomization/NRF2",-1
0.1519,0.4338,0.427199659084319,6,"Randomization/NRF2",-1
0.2434,0.5332,0.558268678102707,7,"Randomization/NRF2",-1
0.1559,0.4143,0.417560054635925,6,"Randomization/NRF2",-1
0.2135,0.4808,0.294674590455093,7,"Randomization/NRF2",-2
0.2043,0.4598,0.23344816067442,7,"Randomization/NRF2",-2
0.1214,0.3802,0.351817091574749,6,"Randomization/NRF2",-2
0.2058,0.5025,0.293159405706127,7,"Randomization/NRF2",-2
0.2102,0.4855,0.307264951329082,7,"Randomization/NRF2",-2
0.1237,0.3711,0.329773339461906,6,"Randomization/NRF2",-2
0.206,0.4508,0.194846057476397,7,"Randomization/NRF2",-2
0.1467,0.4118,0.363221901594576,6,"Randomization/NRF2",-2
0.208,0.4917,0.284227349579383,7,"Randomization/NRF2",-2
0.1502,0.436,0.35643764285687,6,"Randomization/NRF2",-2
0.1671,0.321,0.438421064728116,6,"Randomization/NRF2",-1
0.0567,0.2127,0.321746210995607,5,"Randomization/NRF2",-2
0.0488,0.2095,0.439124861867251,4,"Randomization/NRF2",-1
0.4659,0.6534,0.103805564460023,7,"Randomization/NRF2",-3
0.1616,0.2889,0.393855081354562,6,"Randomization/NRF2",-1
0.066,0.2029,0.498505728323826,5,"Randomization/NRF2",-1
0.1738,0.332,0.287105537796273,6,"Randomization/NRF2",-2
0.1634,0.3423,0.255690699694944,6,"Randomization/NRF2",-2
0.1724,0.3394,0.253601887544394,6,"Randomization/NRF2",-2
0.0612,0.1844,0.300692366868048,5,"Randomization/NRF2",-2
0.1637,0.3173,0.188025373624498,6,"Randomization/NRF2",-2
0.0589,0.1989,0.391032267914082,4,"Randomization/NRF2",-1
0.0637,0.2281,0.391922633501355,5,"Randomization/NRF2",-1
0.4145,0.5588,0.416557300579838,6,"Randomization/NRF2",-1
0.1066,0.2601,0.488505889035919,3,"Randomization/NRF2",-1
0.1201,0.2326,0.605552814122371,6,"Randomization/NRF2",-1
0.2471,0.3529,0.501224856871184,7,"Randomization/NRF2",-1
0.3348,0.4156,0.52968630489403,9,"Randomization/NRF2",-1
0.2514,0.3533,0.482217361407564,7,"Randomization/NRF2",-1
