,Cycles,Nature,Edge_count
155,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,SNAI1,miR-101,ZEB1,miR-34a,TWIST2",P,10
156,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,SNAI1,miR-101,ZEB1,miR-34a,SNAI2,TWIST2",P,11
157,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,SNAI1,miR-34a,TWIST2",P,8
158,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,SNAI1,miR-34a,SNAI2,TWIST2",P,9
159,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,SNAI1,ZEB1,miR-34a,TWIST2",P,9
160,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,SNAI1,ZEB1,miR-34a,SNAI2,TWIST2",P,10
161,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,SNAI1",P,6
162,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,SNAI1,SNAI2,miR-200b,ZEB1,miR-34a,TWIST2",P,11
163,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,SNAI1,SNAI2,miR-101,ZEB1,miR-34a,TWIST2",P,11
164,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,SNAI1,SNAI2,TWIST2",P,8
165,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,SNAI1,FOXC2,ZEB1,miR-34a,TWIST2",P,10
166,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,SNAI1,FOXC2,ZEB1,miR-34a,SNAI2,TWIST2",P,11
167,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,TWIST2",P,6
168,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,TWIST2,SNAI2,miR-200b,TGF-beta,SNAI1",P,10
169,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,TWIST2,SNAI2,miR-200b,TGF-beta,GSC",P,10
170,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,TWIST2,SNAI2,miR-200b,TGF-beta,GSC,SNAI1",P,11
171,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,TWIST2,SNAI2,miR-101,SNAI1",P,9
172,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,TWIST2,SNAI1",P,7
173,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,TWIST2,SNAI1,SNAI2,miR-200b,TGF-beta,GSC",P,11
174,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,SNAI2,miR-200b,TGF-beta,SNAI1",P,9
175,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,SNAI2,miR-200b,TGF-beta,GSC",P,9
176,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,SNAI2,miR-200b,TGF-beta,GSC,SNAI1",P,10
177,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,SNAI2,miR-101,SNAI1",P,8
178,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,SNAI2,TWIST2",P,7
179,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,SNAI2,TWIST2,SNAI1",P,8
180,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,SNAI1",P,6
181,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,SNAI1,SNAI2,miR-200b,TGF-beta,GSC",P,10
182,"TWIST1,ZEB2,miR-200c,ZEB1,miR-34a,SNAI1,SNAI2,TWIST2",P,8
183,"TWIST1,ZEB2,miR-200c,ZEB1,miR-200a,TGF-beta,SNAI2,miR-101,SNAI1,miR-34a,TWIST2",P,11
184,"TWIST1,ZEB2,miR-200c,ZEB1,miR-200a,TGF-beta,SNAI2,miR-101,SNAI1",P,9
185,"TWIST1,ZEB2,miR-200c,ZEB1,miR-200a,TGF-beta,SNAI2,TWIST2",P,8
186,"TWIST1,ZEB2,miR-200c,ZEB1,miR-200a,TGF-beta,SNAI2,TWIST2,SNAI1",P,9
